filename,predicted_label
1dea02a0def34bd3ae7605b7ebeddfed.png,Query
69336e10915a4f089740fd2f1c382f70.png,ABAP Dictionary
bdb124b254b047dfae4842e2dc5fb0ea.png,Transformationen
7d50472af3984734b594f6fdb642ecd7.png,Query
ce758feab7c34066afaf748ed9918817.jpeg,Bewegungsdaten
2b6040a6fd5b448cb065ab0a8a56d215.png,Query
d1059f091ffd43ffb1c83ed0632fc4ec.png,Data Source
bf6bdc6c3e3a48208265f6e8221663a5.png,DTP
b3d960ed99834752bfae1e7faa0264e9.png,Excel
1dbb3f0445b24175969aa24261c7cea3.png,Data Source
d5071488391847d098f57fe3576e4147.png,ABAP Dictionary
30df1cf014c145558ba9da7368cbfcb8.png,Transformationen
f1780094c7f84e66b353b88d2c88d5c4.jpeg,Datenvorschau
0c09c5ced6e943e4af60a4f367591a4b.jpeg,Query
b969edd9faa24357b8db2cde95507c95.png,ABAP Dictionary
74829d8b34864df8949c0d7299073fa8.jpeg,ABAP Dictionary
f68bcd075eb84cc78e47d0ea65f30488.png,DTP
11ffe33cd89c4a9b9e19ea7e3d97bd1f.png,Data Flow Object
0c8deab6bac648b7909689dd31791d61.png,Datenvorschau
990e961c601646b7807d84754f63e588.png,ABAP Dictionary
a23a009572934f64b4d578933215f0c8.png,Query
4287c85f850841a6bd00dd162b9562e2.png,Composite Provider
f074893454504bb99081fbd6df28cb18.png,DTP
ed27dd1b23be44ebbd0c7b793c332e23.png,Datenvorschau
1ee47602982d4cebaeb2f40e424d47c8.png,Datenvorschau
b4f0c00a40c14e56b5f9a79c7f603119.png,Data Source
61df7d6b3dca4567b77555a655e17359.jpeg,Excel
f4b5ace40e634a9e8cb83da7bf98af93.png,Composite Provider
90c14d6ab629490296419d88a824d3e2.png,Composite Provider
a4f89f03fe1d4cb38a2e614146f24dfd.png,Datenvorschau
a30ccf3e122347abad81fa5ed9965650.png,Data Flow Object
1ba7bdb6384a44469471424d35474e66.png,Datenvorschau
84efcdb91b314296a28f7228c907bf25.png,Data Flow Object
7694d27ad3d649babfe45326f850dd96.png,Query
f7c11fd50f0749a79304100db5ba7eea.png,Query
5bce067e9c9c4a9087a12a585eedc58e.png,DTP
18f61785be3340d3b62dc0a29eb3d89a.png,ABAP Dictionary
ec7c47c4a20946f6b180a4ec31590cb7.png,Query
02c65dd27ac140b595ea500ae62290ae.png,DTP
cb897f4291c441b9ae27527bb2c26115.png,Data Source
89af84c8fc284548aa7091d2a4755df3.png,Query
3eb099f97f1c450e9e78e21d831b0f46.png,Data Flow Object
108a3260eee6437ba3c4d1f2af11c772.jpeg,DTP
9fb09c8fb3124fb0b242da4759b11667.png,Query
69ef2d711f84451a899793bcc75f10ad.png,Query
4711aeba57734fc981331831383c8f67.png,DTP
8e167ba1df154619b28875f75d7e3010.jpeg,DTP
02d805cd33a7464bb9e686ffecc39f0a.png,Datenvorschau
ee72ea4d9d8b43df9ef418c1ec7df62c.jpeg,Query
a7965b89e6174430bedb382456f49a2a.jpeg,Excel
286d1211ba71452d8fe3ae20752aece9.jpeg,Excel
afd0bed47fd245dcb3b8d7027957002e.jpeg,Query
23d1f68a7d1e42d9b8d56503e8267dee.png,Composite Provider
3e2f59077c6f4080a1e0782b82b89a5a.png,Data Source
c2f875bb88fe4352b9071bdd5507b9e0.jpeg,Query
4527f78aec6c41e58fddb7f5258c3319.png,Query
d4cdd578c4be481d8c349e4257817d79.png,Data Flow Object
fe68ae9005af48a1a975e32dd6a7179f.png,Data Flow Object
cb33f465fc924cf68bf7133e6e5ba765.png,DTP
07dddd99095b4283a3186f57b5675cfc.png,Datenvorschau
079ba5cdbeff4077b801e97dc2b14691.png,Datenvorschau
96a24838725748798e56ca7a9ae83cbd.jpeg,Query
9bf4fc40988b4af480fcad59493616bd.png,Data Source
18940735e0bc44cbb30838561c9f0b9c.png,Excel
